day,date,gal_l,gal_b,Source,RA,Dec,Epoch,Vp,Integration time,Phase Calibrator,Sp
33,20/01/2012,358.841,-0.737,358.841R-0.737,17 45 44.29, -30 18 33.6,J2000,-20.7,36mins [failed on a previous day],1622-297,13.1
33,20/01/2012,358.906,0.106,358.906R+0.106,17 42 34.57, -29 48 46.8,J2000,-18.2,36mins [failed on a previous day],1622-297,2.4
33,20/01/2012,358.931,-0.03,358.931-0.030,17 43 10.02, -29 51 45.8,J2000,-15.9,36mins,1622-297,
33,20/01/2012,358.98,0.084,358.980+0.084,17 42 50.44, -29 45 40.4,J2000,6.2,30mins,1622-297,
33,20/01/2012,359.138,0.031,359.138+0.031,17 43 25.69, -29 39 17.4,J2000,-3.9,30mins,1622-297,
33,20/01/2012,359.615,-0.243,359.615-0.243,17 45 39.09, -29 23 30.0,J2000,19.3,30mins,1622-297,
34,21/01/2012,336.703,-0.099,336.703-0.099,16 34 42.76, -47 46 57.6,J2000,-35.7,30mins,1613-586,3
34,21/01/2012,336.994,-0.027,336.994-0.027,16 35 33.98, -47 31 11.7,J2000,-125.8,30mins,1613-586,33.3
34,21/01/2012,337.052,-0.226,337.052-0.226,16 36 40.12, -47 36 38.2,J2000,-77.6,30mins,1613-586,23.4
34,21/01/2012,337.258,-0.101,337.258-0.101,16 36 56.32, -47 22 26.4,J2000,-69.4,30mins {also has 337.263-0.070 in field (vel -40.1)},1613-586,8.1
34,21/01/2012,337.388,-0.21,337.388-0.210,16 37 56.01, -47 21 01.2,J2000,-56.3,30mins,1613-586,24.4
34,21/01/2012,337.404,-0.402,337.404-0.402,16 38 50.51, -47 28 00.3,J2000,-39.5,30mins,1613-586,73.7
34,21/01/2012,337.517,-0.348,337.517-0.348,16 39 03.09, -47 20 48.7,J2000,9.6,30mins,1613-586,0.7
34,21/01/2012,337.705,-0.053,337.705-0.053,16 38 29.63, -47 00 35.5,J2000,-54.6,30mins,1613-586,165.5
34,21/01/2012,337.71,0.089,337.710+0.089,16 37 53.41, -46 54 40.8,J2000,-72.6,30mins {also has 337.720+0.065 in field (vel -63.9)},1613-586,4.7
34,21/01/2012,2.615,0.134,002.615+0.134,17 51 12.30, -26 37 37.2,J2000,94.1,"39mins {phase cal not the best by the looks of things, circa 0.5 jy on vis and delay jump spikes, scans may need repeating?}",1742-078,
34,21/01/2012,2.703,0.04,002.703+0.040,17 51 45.98, -26 35 56.7,J2000,93.5,"36mins {phase cal not the best by the looks of things, circa 0.5 jy on vis and delay jump spikes, scans may need repeating?}",1742-078,
34,21/01/2012,3.502,-0.2,003.502-0.200,17 54 30.06, -26 01 59.4,J2000,43.9,"36mins {phase cal not the best by the looks of things, circa 0.5 jy on vis and delay jump spikes, scans may need repeating?}",1742-078,
34,21/01/2012,4.393,0.079,004.393R+0.079,17 55 25.77, -25 07 23.6,J2000,1.9,"36mins {phase cal not the best by the looks of things, circa 0.5 jy on vis and delay jump spikes, scans may need repeating?} [fail on previous]",1742-078,7.7
34,21/01/2012,4.434,0.129,004.434+0.129,17 55 19.74, -25 03 44.8,J2000,-1,"36mins {phase cal not the best by the looks of things, circa 0.5 jy on vis and delay jump spikes, scans may need repeating?}",1742-078,
34,21/01/2012,4.569,-0.079,004.569R-0.079,17 56 25.30, -25 03 03.7,J2000,9.5,"36mins {phase cal not the best by the looks of things, circa 0.5 jy on vis and delay jump spikes, scans may need repeating?} [fail on previous]",1742-078,0.6
35,22/01/2012,336.822,0.028,336.822+0.028,16 34 38.28, -47 36 32.2,J2000,-76.8,30mins,1613-586,22.9
35,22/01/2012,336.83,-0.375,336.830-0.375,16 36 26.19, -47 52 31.1,J2000,-22.8,30mins,1613-586,33.9
35,22/01/2012,336.916,-0.024,336.916-0.024,16 35 14.27, -47 34 30.1,J2000,-127.3,30mins,1613-586,
35,22/01/2012,336.941,-0.156,336.941-0.156,16 35 55.19, -47 38 45.4,J2000,-67.2,30mins,1613-586,22
35,22/01/2012,336.957,-0.225,336.957-0.225,16 36 16.99, -47 40 48.6,J2000,-68.1,30mins,1613-586,
35,22/01/2012,336.958,-0.977,336.958-0.977,16 39 37.55, -48 10 58.4,J2000,-49.4,30mins,1613-586,1.3
35,22/01/2012,359.938,0.17,359.938R+0.170,17 44 48.55, -28 53 59.4,J2000,-0.5,27mins [failed on a previous day],1622-297,1.6
35,22/01/2012,359.97,-0.457,359.970-0.457,17 47 20.17, -29 11 59.4,J2000,23.1,27mins,1622-297,2.2
35,22/01/2012,0.167,-0.446,000.167-0.446,17 47 45.46, -29 01 29.3,J2000,13.8,30mins,1622-297,4.4
35,22/01/2012,0.496,0.188,000.496+0.188,17 46 03.96, -28 24 52.8,J2000,0.9,30mins,1622-297,
35,22/01/2012,1.147,-0.124,001.147-0.124,17 48 48.53, -28 01 11.2,J2000,-15.3,30mins,1622-297,
35,22/01/2012,2.521,-0.22,002.521-0.220,17 52 21.17, -26 53 21.1,J2000,-6.1,30mins,1622-297,0.7
35,22/01/2012,4.586,0.028,004.586+0.028,17 56 03.23, -24 58 55.9,J2000,26.1,30mins,1710-269,
35,22/01/2012,4.676,0.276,004.676+0.276,17 55 18.34, -24 46 45.3,J2000,4.5,27mins [failed on a previous day],1710-269,2.5
35,22/01/2012,4.866,-0.171,004.866-0.171,17 57 25.96, -24 50 24.4,J2000,5.4,24mins,1710-269,0.6
36,23/01/2012,335.426,-0.24,335.426-0.240,16 30 05.58, -48 48 44.8,J2000,-50.6,[NAOMI OBSERVED] PROBLEMS SO NEED TO CHECK IN DATA HOW MUCH ON EACH SOURCE..,1613-586,91.2
36,23/01/2012,335.556,-0.307,335.556-0.307,16 30 55.96, -48 45 50.0,J2000,-116,[NAOMI OBSERVED]{also has 335.585-0.285 in field (vel -51.4)},1613-586,16.5
36,23/01/2012,335.726,0.191,335.726+0.191,16 29 27.37, -48 17 53.2,J2000,-44.4,[NAOMI OBSERVED],1613-586,75.4
36,23/01/2012,335.824,-0.177,335.824-0.177,16 31 28.33, -48 28 49.2,J2000,-26.1,[NAOMI OBSERVED],1613-586,1.4
36,23/01/2012,336.018,-0.827,336.018-0.827,16 35 09.30, -48 46 46.8,J2000,-53.3,[NAOMI OBSERVED],1613-586,179.6
36,23/01/2012,336.409,-0.257,336.409-0.257,16 34 13.20, -48 06 20.9,J2000,-85.5,[NAOMI OBSERVED]{also has 336.433-0.262 in field (vel -93)},1613-586,5
36,23/01/2012,336.526,-0.156,336.526-0.156,,,J2000,-94.8,[NAOMI OBSERVED],1613-586,
36,23/01/2012,350.686,-0.491,350.686-0.491,,,J2000,-13.8,[NAOMI OBSERVED],1622-297,
36,23/01/2012,353.37,-0.091,353.370-0.091,,,J2000,-45.7,[NAOMI OBSERVED],1622-297,
36,23/01/2012,354.206,-0.038,354.206-0.038,,,J2000,-37.1,[NAOMI OBSERVED],1622-297,
36,23/01/2012,354.308,-0.11,354.308-0.110,,,J2000,18.7,[NAOMI OBSERVED],1622-297,
36,23/01/2012,354.701,0.299,354.701+0.299,,,J2000,102.7,[NAOMI OBSERVED],1622-297,
36,23/01/2012,355.343,0.148,355.343+0.148,17 33 28.84, -32 48 00.2,J2000,5.8,[NAOMI OBSERVED][only 4 cuts on a previous day],1622-297,1.2
36,23/01/2012,355.642,0.398,355.642R+0.398,17 33 15.40, -32 24 46.8,J2000,-7.9,[NAOMI OBSERVED][only 4 cuts on a previous day],1622-297,1.9
37,24/01/2012,329.61,0.114,329.610R+0.114,16 02 03.14, -52 35 33.5,J2000,-60.1,[NAOMI OBSERVED] 30mins [failed on a previous day],1613-586,49.9
37,24/01/2012,329.719,1.164,329.719R+1.164,15 58 07.09, -51 43 32.6,J2000,-75.8,[NAOMI OBSERVED] 30mins [failed on a previous day],1613-586,24.4
37,24/01/2012,330.953,-0.182,330.953-0.182,16 09 52.36, -51 54 57.5,J2000,-87.6,[NAOMI OBSERVED] 30mins,1613-586,7.9
37,24/01/2012,339.204,-0.018,339.204-0.018,16 44 05.68, -45 51 43.3,J2000,-14.2,[NAOMI OBSERVED] 30mins,1613-586,2.4
37,24/01/2012,339.282,0.136,339.282+0.136,16 43 43.11, -45 42 08.0,J2000,-70.1,[NAOMI OBSERVED] 30mins {also has 339.294+0.139 in field (vel -74.6)},1613-586,6.9
37,24/01/2012,339.477,0.043,339.477+0.043,16 44 50.98, -45 36 56.1,J2000,-9.7,[NAOMI OBSERVED] 30mins,1613-586,2.4
37,24/01/2012,340.97,-1.022,340.970-1.022,16 54 57.32, -45 09 05.2,J2000,-31.3,[NAOMI OBSERVED] 30mins,1613-586,10.1
37,24/01/2012,341.99,-0.103,341.990-0.103,16 54 32.89, -43 46 51.4,J2000,-37,[NAOMI OBSERVED] 30mins,1613-586,1.3
37,24/01/2012,342.338,0.305,342.338+0.305,16 54 00.71, -43 15 12.3,J2000,-110.2,[NAOMI OBSERVED] 30mins,1613-586,1.1
37,24/01/2012,342.368,0.14,342.368+0.140,16 54 49.15, -43 20 03.6,J2000,-5.6,[NAOMI OBSERVED] 30mins,1613-586,
37,24/01/2012,342.446,-0.072,342.446-0.072,16 55 59.94, -43 24 22.5,J2000,-20.2,[NAOMI OBSERVED] 30mins,1613-586,1.6
37,24/01/2012,6.368,-0.052,006.368-0.052,18 00 15.82, -23 28 43.8,J2000,144.1,[NAOMI OBSERVED] 30mins,1710-269,1.5
37,24/01/2012,6.539,-0.108,006.539-0.108,18 00 50.86, -23 21 29.8,J2000,13.4,[NAOMI OBSERVED] 30mins,1710-269,
37,24/01/2012,6.795,-0.257,006.795-0.257,18 01 57.75, -23 12 34.9,J2000,16.3,[NAOMI OBSERVED] 30mins,1710-269,
38,26/01/2012,322.705,-0.331,322.705-0.331,15 25 47.52, -57 09 15.5,J2000,-21.6,30mins,1352-63,2
38,26/01/2012,323.459,-0.079,323.459-0.079,15 29 19.33, -56 31 22.8,J2000,-66.9,30mins,1352-63,15.2
38,26/01/2012,323.74,-0.263,323.740-0.263,15 31 45.45, -56 30 50.1,J2000,-50.5,30mins,1352-63,3231
38,26/01/2012,331.132,-0.244,331.132-0.244,16 10 59.77, -51 50 22.4,J2000,-84.3,30mins,1613-586,
38,26/01/2012,331.342,-0.346,331.342-0.346,16 12 26.45, -51 46 16.4,J2000,-65.1,30mins,1613-586,124.1
38,26/01/2012,331.425,0.264,331.425+0.264,16 10 09.36, -51 16 04.5,J2000,-88.8,30mins,1613-586,18.8
38,26/01/2012,331.442,-0.187,331.442-0.187,16 12 12.49, -51 35 10.1,J2000,-86.2,30mins,1613-586,77.2
38,26/01/2012,331.542,-0.066,331.542-0.066,16 12 09.02, -51 25 47.6,J2000,-84,30mins,1613-586,26.6
38,26/01/2012,332.295,-0.094,332.295-0.094,,,J2000,-47,30mins [failed on a previous day],1613-586,109
38,26/01/2012,332.813,-0.701,332.813-0.701,16 20 48.12, -51 00 15.6,J2000,-53.1,30mins,1613-586,12.9
38,26/01/2012,332.826,-0.549,332.826-0.549,16 20 10.85, -50 53 14.2,J2000,-61.7,30mins,1613-586,
38,26/01/2012,10.32,-0.259,010.320-0.259,18 09 23.30, -20 08 06.9,J2000,39,36mins,1710-269,
38,26/01/2012,10.444,-0.018,010.444-0.018,18 08 44.88, -19 54 38.2,J2000,73.4,36mins,1710-269,
38,26/01/2012,11.034,0.062,011.034+0.062,18 09 39.84, -19 21 20.3,J2000,20.6,36mins,1710-269,
38,26/01/2012,11.109,-0.114,011.109-0.114,18 10 28.25, -19 22 29.1,J2000,24.1,33mins,1710-269,
39,27/01/2012,291.27,-0.719,291.270R-0.719,11 11 49.44, -61 18 51.9,J2000,-26.5,45mins,1049-53,
39,27/01/2012,324.716,0.342,324.716+0.342,15 34 57.47, -55 27 23.6,J2000,-45.9,30mins,1613-586,10.8
39,27/01/2012,324.789,-0.378,324.789-0.378,15 38 22.85, -55 59 47.0,J2000,11.8,30mins,1613-586,1.7
39,27/01/2012,324.915,0.158,324.915+0.158,15 36 51.17, -55 29 22.9,J2000,-2.3,30mins,1613-586,12.1
39,27/01/2012,324.923,-0.568,324.923-0.568,15 39 57.64, -56 04 08.3,J2000,-78.3,30mins,1613-586,4.9
39,27/01/2012,325.659,-0.022,325.659-0.022,15 41 48.70, -55 11 27.0,J2000,29.4,30mins,1613-586,2.2
39,27/01/2012,326.323,-0.393,326.323-0.393,15 47 04.58, -55 04 50.4,J2000,-69.4,30mins,1613-586,2
39,27/01/2012,326.448,-0.748,326.448-0.748,15 49 18.63, -55 16 51.6,J2000,-71.7,30mins,1613-586,9
39,27/01/2012,326.475,0.703,326.475+0.703,15 43 16.64, -54 07 14.6,J2000,-38.5,30mins {also has 326.476+0.695 in field (-43.6)},1613-586,135
39,27/01/2012,326.608,0.799,326.608+0.799,15 43 35.99, -53 57 47.3,J2000,-45.2,30mins,1613-586,1.5
39,27/01/2012,326.641,0.611,326.641+0.611,15 44 33.33, -54 05 31.5,J2000,-42.6,30mins,1613-586,26.4
39,27/01/2012,333.128,-0.44,333.128-0.440,16 21 03.30, -50 35 49.5,J2000,-44.5,30mins,1613-586,
39,27/01/2012,333.234,-0.06,333.234-0.060,16 19 50.89, -50 15 10.7,J2000,-90.2,30mins,1613-586,1.5
39,27/01/2012,333.315,0.105,333.315+0.105,16 19 29.01, -50 04 41.3,J2000,-43.8,30mins,1613-586,13.2
39,27/01/2012,351.242,0.67,351.242+0.670,17 20 17.84, -35 54 46.0,J2000,2.5,30mins,1622-297,
40,28/01/2012,263.25,0.514,263.250R+0.514,08 48 47.84, -42 54 28.3,J2000,12.3,30mins {across about 6hrs lst range} [repeat],0823-500,68.9
40,28/01/2012,269.658,-1.27,269.658R-1.270,09 04 57.72, -48 56 18.4,J2000,16.2,30mins {across about 6hrs lst range} [repeat],0823-500,4.5
40,28/01/2012,270.255,0.835,270.255R+0.835,09 16 41.51, -47 56 12.1,J2000,4,30mins {across about 6hrs lst range} [repeat],0823-500,0.5
40,28/01/2012,327.808,-0.634,327.808-0.634,15 56 06.91, -54 19 54.4,J2000,-42.3,30mins,1613-586,
40,28/01/2012,327.863,0.098,327.863+0.098,15 53 13.44, -53 44 01.8,J2000,-46.3,30mins,1613-586,
40,28/01/2012,327.945,-0.115,327.945-0.115,15 54 33.91, -53 50 44.3,J2000,-51.6,30mins,1613-586,8.8
40,28/01/2012,328.14,-0.432,328.140-0.432,15 56 57.75, -53 57 48.7,J2000,-39.2,30mins,1613-586,4.2
40,28/01/2012,328.164,0.587,328.164+0.587,15 52 42.37, -53 09 50.5,J2000,-91.9,30mins,1613-586,2.2
40,28/01/2012,328.237,-0.547,328.237-0.547,15 57 58.28, -53 59 22.7,J2000,-44.7,30mins,1613-586,1481
40,28/01/2012,328.385,0.131,328.385+0.131,15 55 47.33, -53 22 30.8,J2000,29,30mins,1613-586,1.9
40,28/01/2012,329.469,0.503,329.469R+0.503,15 59 40.71, -52 23 27.3,J2000,-72,30mins [failed on a previous day],1613-586,21.6
40,28/01/2012,329.526,0.216,329.526R+0.216,16 01 11.70, -52 34 14.5,J2000,-92.8,30mins [failed on a previous day],1613-586,2.7
40,28/01/2012,11.992,-0.272,011.992-0.272,18 12 51.19, -18 40 38.4,J2000,59.8,30mins,1710-269,
40,28/01/2012,12.625,-0.017,012.625-0.017,18 13 11.30, -17 59 57.6,J2000,21.6,30mins,1710-269,
40,28/01/2012,12.681,-0.182,012.681-0.182,18 13 54.75, -18 01 46.6,J2000,57.5,30mins,1710-269,
41,31/05/2012,321.148,-0.529,321.148-0.529,15 16 48.39, -58 09 50.2,J2000,-66.1,30mins [REPEAT OF EARLIER OBSERVATIONS],1352-63,8.5
41,31/05/2012,321.704,1.168,321.704+1.168,15 13 44.72, -56 25 34.4,J2000,-44.3,30mins [REPEAT OF EARLIER OBSERVATIONS],1352-63,2.1
41,31/05/2012,322.158,0.636,322.158+0.636,15 18 34.64, -56 38 25.3,J2000,-63,30mins [REPEAT OF EARLIER OBSERVATIONS],1352-63,253.9
41,31/05/2012,335.426,-0.24,335.426-0.240,16 30 05.58, -48 48 44.8,J2000,-50.6,30mins [REPEAT OF EARLIER OBSERVATIONS],1613-586,91.2
41,31/05/2012,335.556,-0.307,335.556-0.307,16 30 55.96, -48 45 50.0,J2000,-116,30mins [REPEAT OF EARLIER OBSERVATIONS],1613-586,16.5
41,31/05/2012,335.726,0.191,335.726+0.191,16 29 27.37, -48 17 53.2,J2000,-44.4,30mins [REPEAT OF EARLIER OBSERVATIONS],1613-586,75.4
41,31/05/2012,335.824,-0.177,335.824-0.177,16 31 28.33, -48 28 49.2,J2000,-26.1,30mins [REPEAT OF EARLIER OBSERVATIONS],1613-586,1.4
41,31/05/2012,336.018,-0.827,336.018-0.827,16 35 09.30, -48 46 46.8,J2000,-53.3,30mins [REPEAT OF EARLIER OBSERVATIONS],1613-586,179.6
41,31/05/2012,336.409,-0.257,336.409-0.257,16 34 13.20, -48 06 20.9,J2000,-85.5,30mins [REPEAT OF EARLIER OBSERVATIONS],1613-586,5
41,31/05/2012,336.526,-0.156,336.526-0.156,16 34 15.00, -47 57 07.4,J2000,-94.8,30mins [REPEAT OF EARLIER OBSERVATIONS],1613-586,
41,31/05/2012,4.866,-0.171,004.866-0.171,17 57 25.96, -24 50 24.4,J2000,5.4,29mins [REPEAT OF EARLIER OBSERVATIONS],1710-269,0.6
41,31/05/2012,14.457,-0.143,014.457-0.143,18 17 18.79, -16 27 57.5,J2000,43.1,30mins,1710-269,
41,31/05/2012,14.49,0.014,014.490+0.014,18 16 48.06, -16 20 45.0,J2000,20.2,30mins,1710-269,
41,31/05/2012,14.604,0.017,014.604+0.017,18 17 01.14, -16 14 38.0,J2000,24.7,30mins,1710-269,
42,1/06/2012,320.244,-0.562,320.244-0.562,15 11 01.61, -58 39 37.7,J2000,-49.7,30mins [REPEAT OF EARLIER OBSERVATIONS],1613-586,1.6
42,1/06/2012,320.424,0.089,320.424+0.089,15 09 41.56, -58 00 29.2,J2000,-6,30mins [REPEAT OF EARLIER OBSERVATIONS],1613-586,0.8
42,1/06/2012,321.03,-0.485,321.030-0.485,15 15 51.79, -58 11 18.0,J2000,-66.2,30mins [REPEAT OF EARLIER OBSERVATIONS],1613-586,6
42,1/06/2012,333.387,0.032,333.387+0.032,16 20 07.59, -50 04 47.2,J2000,-73.8,30mins [REPEAT OF EARLIER OBSERVATIONS],1613-586,2.8
42,1/06/2012,333.466,-0.164,333.466-0.164,16 21 20.18, -50 09 48.6,J2000,-42.3,30mins [REPEAT OF EARLIER OBSERVATIONS],1613-586,40.5
42,1/06/2012,333.562,-0.025,333.562-0.025,16 21 08.80, -49 59 48.0,J2000,-35.2,30mins [REPEAT OF EARLIER OBSERVATIONS],1613-586,51.6
42,1/06/2012,350.686,-0.491,350.686-0.491,17 23 28.63, -37 01 48.8,J2000,-13.8,30mins [REPEAT OF EARLIER OBSERVATIONS],1710-269,
42,1/06/2012,351.775,-0.536,351.775-0.536,17 26 42.57, -36 09 17.6,J2000,1.3,30mins [REPEAT OF EARLIER OBSERVATIONS],1710-269,311.3
42,1/06/2012,353.37,-0.091,353.370-0.091,17 29 14.27, -34 34 50.2,J2000,-45.7,30mins [REPEAT OF EARLIER OBSERVATIONS],1710-269,
42,1/06/2012,354.206,-0.038,354.206-0.038,17 31 15.01, -33 51 15.1,J2000,-37.1,30mins [REPEAT OF EARLIER OBSERVATIONS],1710-269,
42,1/06/2012,354.308,-0.11,354.308-0.110,17 31 48.56, -33 48 29.1,J2000,18.7,30mins [REPEAT OF EARLIER OBSERVATIONS],1710-269,
42,1/06/2012,16.302,-0.196,016.302-0.196,18 21 07.83, -14 50 54.6,J2000,51.8,33mins,1908-201,
42,1/06/2012,16.403,-0.181,016.403-0.181,18 21 16.39, -14 45 09.0,J2000,39.2,33mins,1908-201,
42,1/06/2012,16.585,-0.051,016.585-0.051,18 21 09.13, -14 31 48.5,J2000,62.1,33mins,1908-201,
42,1/06/2012,17.638,0.157,017.638+0.157,18 22 26.30, -13 30 12.1,J2000,20.8,33mins,1908-201,34.2
42,1/06/2012,18.341,1.768,018.341+1.768,18 17 58.13, -12 07 24.8,J2000,28.1,36mins,1908-201,99.3
42,1/06/2012,18.834,-0.3,018.834-0.300,18 26 23.66, -12 39 38.0,J2000,41.2,36mins,1908-201,
43,2/06/2012,318.05,0.087,318.050+0.087,14 53 42.67, -59 08 52.4,J2000,-51.8,30mins [REPEAT OF EARLIER OBSERVATIONS],1613-586,12.6
43,2/06/2012,318.472,-0.214,318.472-0.214,14 57 42.86, -59 13 15.9,J2000,-19.1,30mins [REPEAT OF EARLIER OBSERVATIONS],1613-586,1.3
43,2/06/2012,319.836,-0.197,319.836-0.197,15 06 54.65, -58 33 00.0,J2000,-9,31mins [REPEAT OF EARLIER OBSERVATIONS],1613-586,0.7
43,2/06/2012,320.123,-0.504,320.123-0.504,15 10 00.17, -58 40 18.0,J2000,-10.1,31mins [REPEAT OF EARLIER OBSERVATIONS],1613-586,3.7
43,2/06/2012,320.231,-0.284,320.231-0.284,15 09 51.94, -58 25 38.5,J2000,-62.5,31mins [REPEAT OF EARLIER OBSERVATIONS],1613-586,31.9
43,2/06/2012,354.701,0.299,354.701+0.299,17 31 12.06, -33 15 16.7,J2000,102.7,33mins [REPEAT OF EARLIER OBSERVATIONS],1710-269,
43,2/06/2012,355.343,0.148,355.343+0.148,17 33 28.84, -32 48 00.2,J2000,5.8,33mins [REPEAT OF EARLIER OBSERVATIONS],1710-269,1.2
43,2/06/2012,355.642,0.398,355.642R+0.398,17 33 15.40, -32 24 46.8,J2000,-7.9,33mins [REPEAT OF EARLIER OBSERVATIONS],1710-269,1.9
43,2/06/2012,19.267,0.349,019.267+0.349,18 24 52.38, -11 58 28.2,J2000,16.3,36mins,1908-201,
43,2/06/2012,19.612,-0.12,019.612-0.120,18 27 13.48, -11 53 15.7,J2000,53,36mins,1908-201,
43,2/06/2012,19.614,0.011,019.614+0.011,18 26 45.24, -11 49 31.4,J2000,32.9,36mins,1908-201,
43,2/06/2012,19.667,0.117,019.667+0.117,18 26 28.97, -11 43 48.9,J2000,16.3,36mins,1908-201,
43,2/06/2012,19.701,-0.267,019.701-0.267,18 27 55.52, -11 52 40.3,J2000,43.8,36mins,1908-201,11.7
43,2/06/2012,19.755,-0.128,019.755-0.128,18 27 31.66, -11 45 55.0,J2000,123.1,36mins,1908-201,
43,2/06/2012,19.884,-0.534,019.884-0.534,18 29 14.37, -11 50 23.0,J2000,46.8,36mins,1908-201,6.8